title,content
台積電壓尾盤 台股收跌24.99點14200失守,（中央社記者韓婷婷台北4日電）台股今天在晶圓雙雄穩盤，百貨、造紙、光電、儲能、網通等族群衝鋒下，指數維持在平盤上下震盪。台積電壓尾盤終場下跌3.5元，加權指數收跌24.99點，14200點關卡未能守住。加權股價指數終場下跌24.99點，以14199.13點作收，跌幅0.18%，成交值新台幣1610.11億元。行政院長蘇貞昌今天宣布，將在農曆年後普發現金每人6000元，激勵網家、富邦媒、寶雅等百貨零售相關類股走強。其他產業方面，儲能相關華城、中興電等也強勢表態，近2日強勢的生技類股則開高走低，輪動表現。（編輯：楊蘭軒）1120104
台積電小金雞 股價挑戰6字頭 采鈺、金居 錢景看俏,"台股在新年首周開紅盤，摩爾投顧分析師張貽程指出，外資近期心態已漸由空翻多，在其買盤加持下，大型權值股可望扮演啟動台股的主引擎，並帶出金兔年行情。本周投資組合前兩大為采鈺（6789）、金居（8358），再選入環球晶（6488）、亞德客-KY（1590）與上銀（2049）。台股加權指數上周周K收紅，終結2022年12月來的連四周黑K，是相當好的開頭，且按照近期台股慣性，周K大多會呈現連紅或連黑，故研判台股本波漲勢有望延續至春節封關周。美國聯準會（Fed）也公布12月會議紀要，沒有任何官員表態今年會降息，被評為最鷹派會議紀要，但股市卻不跌反漲，代表隨著大幅升息高峰過去，市場對利空的反應也進入尾聲。另一方面，外資在台指期淨多單維持在1.6萬口以上，去年底更一度超過1.9萬口，代表其避險心態已大幅降低，且對元月行情大力相挺，故研判其在農曆年封關前可能抱持「人棄我取」心態，投資人可留意更多法人籌碼訊號。展望後市，台股成交量在元旦假期結束後穩步回溫，若後續能回歸至2,000億元以上，將是最佳情況，惟台股量增最重要推手仍是外資，電子權值股台積電、聯發科、國巨及大型金控、塑化股買盤的活絡，將會扮演啟動台股主引擎的第一步，為金兔年行情鋪路。選股方面，投資人須避免追逐盤面過熱題材股，轉而鎖定現階段基期相對偏低補漲股，並趁封關前夕搶賺紅包行情。"
台積電法說會本週登場 法人：台股首季重要風向球,（中央社記者賴言曦台北8日電）台股6日開低震盪，終場上漲72.29點，週線終止連4黑。展望本週股市，法人分析，晶圓龍頭大廠台積電將舉辦法人說明會，會中所釋出的未來市場展望，將是台股第1季的重要風向球，並將直接牽動台股士氣。台股6日小漲0.74%，收在14373.34點，全週上漲235.65點，週線漲幅1.67%，帶動週線收紅，中斷連4黑窘境，但成交日均量僅有新台幣1611.23億元。三大法人動向方面，上週見到內外資法人攜手回補台股，外資買超66.1億元，中止連續4週賣超台股，投信與自營商分別買超26.22億元、31.71億元，推升投信連續買超週數來到第29週，自營商則是逆轉連8週調節台股的態勢，三大法人合計買超124.03億元。安聯投信台股團隊表示，台股新年開紅盤以來，走勢主要還是受美股影響較多；在資金面，隨著外資剛收假回來，交投雖有逐步回溫跡象、但仍顯相對審慎，其中電子股成交比重回升至6成，成為穩定市場信心的關鍵力量之一。PGIM保德信高成長基金經理人孫傳恕指出，今年上半年台股仍有挑戰需要面對，包括製造業採購經理人指數（PMI）放緩、科技股2023年獲利預下修，甚至主要國家恐出現經濟衰退困境等。孫傳恕分析，預料指數低點將出現在第1季，第2季維持低檔震盪走勢，直到下半年台股開始反映美國聯邦準備理事會（Fed）停止升息、甚至年底降息預期，將可望見到一波資金帶動的台股彈升行情。另外，晶圓代工大廠台積電即將在12日舉辦法說會，孫傳恕表示，會中將釋出的市場展望，是台股第1季重要的風向球，且這次法說會在封關前舉行，預料市場股價表現能及時反映首季展望，若業者屆時能釋出優於預期的看法，更有利於提振整個半導體產業與科技股的表現。（編輯：翟思嘉）1120108
美股勁揚有利台股 本週仍待觀察台積電法說會,（中央社記者潘智義台北9日電）美國去年12月工資上調幅度以及新增就業成長溫和，降低市場對美聯準會升息的疑慮，帶動美股勁揚；法人認為，美股上漲雖有利台股，但本週台積電法說會仍是觀察指標。美國聯邦準備理事會（Fed）升息壓力降低，美股道瓊工業指數6日上漲700.53點，或2.13%，收33630.61點；標準普爾500指數上漲86.98點，或2.28%，收在3895.08點；那斯達克指數上漲264.05點，或2.56%，收在10569.29點；費城半導體指數上漲117.581點，或4.67%，收在2636.101點。台股6日收在14373.34點，上漲72.29點，週線收紅235.65點，終結連4黑。國泰證期顧問處分析師蔡明翰接受電訪表示，台股本週觀察指標為台積電法人說明會，美聯準會利率政策仍將左右美股走勢，接下來幾天台股不排除隨美股漲跌起伏。國安基金官員日前證實，第4季例會將於10日召開。鑑於全球經濟轉趨下行、金融市場不確定因素仍多，市場預期國安基金委員會將決議持續護盤，穩定台股。產業消息方面，光鼎生物科技7日公告去年全年營收新台幣2.31億元，創新高，年增29.1%。Qsep系列生物片段分析儀也於6日正式取得美國食品藥物管理局（FDA）上市許可。工業電腦廠樺漢受惠於半導體產業等主要客戶擴大業務合作範疇，日前公布2022年12月合併營收約143.1億元，創單月新高，月增14.6%，年增18.6%，；2022年全年營收達1204.5億元，創歷史新高，年增24.7%。（編輯：郭無患）1120109
快新聞／台股早盤大漲260點站上14600 台積電彈9.5元,即時中心／林柏安報導台股今天開盤大漲131.13點，加權股價指數為14504.47點，開盤5分鐘指數一度漲逾230點至14605.16點，台積電以468元開出，盤面電子股走勢強勁。晶圓代工廠台積電今日開盤上漲9.5元，開468元；鴻海開99.2元；大立光以2200元開出；聯電開43.6元，跌幅約2.95%；聯發科以671元開出。航空雙雄華航、長榮航漲約1.6%；航運類股，貨櫃三雄長榮、萬海走揚，陽明在平盤震盪。預料聯準會升息壓力減輕，美股7日勁揚，道瓊工業指數終場上漲700.53點，或2.13%，收在33630.61點。高科技的那史達克上漲264.05點，或2.56%，收在10569.29點。標準普爾500指數上漲86.98點，或2.28%，收在3895.08點。
台股早盤漲逾230點站上14600點 台積電大漲16元,美股勁揚，費城半導體指數上漲4.67%，台積電今天早盤大漲16元，帶動台股來到14609.97點，大漲逾230點，站上14600點整數關卡。至上午9時20分止，加權指數來到14582.47點，勁揚209.13點，成交值新台幣531.80億元台積電今天早盤來到474.5元，大漲16元；大立光在平盤2180元上下游走；鴻海小漲1.2元，來到99.6元。
台積電法說會12日登場 聚焦全球布局等4大議題,（中央社記者張建中新竹9日電）台積電法人說明會將於12日登場，是台股本週重頭戲；包括全年展望、資本支出、先進製程進展與全球布局4大議題將是市場關注焦點。受智慧手機和個人電腦等終端市場疲軟，以及客戶產品進度延遲影響，台積電去年第4季7奈米及6奈米產能利用率開始鬆動，所幸在5奈米需求持續強勁支撐下，整體營運依然穩健。隨著供應鏈去化庫存影響擴大，法人預期，台積電5奈米製程產能利用率恐將快速滑落，成熟製程需求同步趨緩，加上新台幣兌美元匯率條件不利營收表現，台積電第1季營收將季減10%以上，第2季業績不排除進一步滑落，全年營收將力求持平。半導體業者多認為今年變數多，包括供應鏈庫存、通膨、升息、俄烏戰爭及中國大陸疫情等，上半年營運展望保守，預期全年景氣將呈先低後高態勢。因短期產業景氣遭遇逆風，台積電今年資本支出將審慎評估，不過，台積電全球投資布局進度不變，法人預期，台積電今年資本支出仍可望維持在300億美元以上高檔水準。台積電美國亞利桑那州廠於去年12月舉行移機典禮，除決定將第1期工程轉為生產4奈米，第2期工程也正式展開，預計生產3奈米，總投資金額擴增至400億美元；市場也關切台積電是否擴大日本投資，以及德國設廠評估情況如何。台積電3奈米製程於去年正式量產，2奈米原訂2025年量產，3奈米製程業績貢獻、以及2奈米製程最新進展備受關注。因3奈米製程量產初期尚未達經濟規模，恐不利毛利率表現，且海外投資成本高，台積電是否調整中長期毛利率目標53%，也是市場持續追蹤的重點。（編輯：郭無患）1120109
電子股帶頭衝台股狂漲 本週聚焦台積電法說會,美國12月非農就業數據優於市場預期，且薪資成長降溫，美股暴漲回應，費城半導體指數更狂飆4.6%，台股跟進由台積電領軍指數大漲近300點。由於國安基金10日即將開會，市場預期應會持續護盤，助長多頭士氣，大盤買氣激增成交量明顯增加。接下來影響市場最重要的消息是台積電週四法說會。（張佳琪報導）美股4大指數勁揚，科技類股強勢表態，亞股一片熱絡。由於台積電ADR漲幅3%、聯電ADR漲幅超過6%，台股一早便由晶圓雙雄帶頭衝刺，半導體相關族群人氣爆棚，電子股成交比重拉升至6成水位。盤中矽力*-KY漲停板激情演出，櫃買市場的中小型電子股也被帶動。傳產股則以機電平均漲幅2%以上最出色，金融股漲幅達1.8%也有進一步推升指數作用。大盤擴量漲2百多點，航運股獨憔悴，貨櫃三雄逆勢大跌，反應運價指數回跌的利空。台新投顧副總黃文清指出，國安基金即將開會，應有機會持續護盤，有助市場信心。黃文清說：「國安基金持續維持金融穩定護盤動作應有機會持續，對於信心的提振及預期是有一定程度地關連」。黃文清表示，本週台股最重要的法說會是台積電法說，預料會揭示電子業庫存調整以及半導體景氣的動向，目前市場看法審慎但不至於悲觀。投信指出台積電法說因素市場已陸續反應，也不排除屆時釋出訊息消弭不確定性後，反而會有助投資信心的提振。
美股收高 法人：台股靜待台積電、大立光法說會,（中央社記者賴言曦台北12日電）美國最新通膨數據將在今晚揭曉，台積電、大立光法說會也將在今天下午登場，法人表示，預估市場將呈現觀望態度，等待台積電、大立光等業者釋出對市場的看法。美國即將公布去年12月消費者物價指數（CPI）數據，市場預期年增率將進一步降至6.5%，核心CPI增幅也將進一步下降至5.7%，通膨減緩可能為美國聯邦準備理事會（Fed）提供撤回激進升息政策的空間，在那斯達克指數領漲下，美股主要指數今天收高。道瓊工業指數上揚268.91點或0.80%，收33973.01點。標準普爾500指數揚升50.36點或1.28%，收3969.61點。那斯達克指數上漲189.04點或1.76%，收10931.67點。費城半導體指數漲升34.08點或1.25%，收2755.36點。觀察台股產業動向，晶圓代工大廠台積電、光學鏡頭龍頭廠大立光分別將在今天下午舉辦法人說明會，會釋出對未來市場的展望，被視為台股今年首季的重要風向球。台新投顧副總經理黃文清接受電訪時表示，台股除了等待台積電等龍頭業者釋出展望外，另17日封關後美股仍會陸續釋出財報訊息，市場面臨不確定因素，預估台股將呈現「停看聽」的觀望態度，待資訊釐清後，資金才有望回流。（編輯：楊凱翔）1120112
台積電今法說會開盤小漲3元 加權指數上漲58點突破14800關卡,張嘉男／綜合報導「護國神山」台積電今（12日）召開法說會，投資人樂觀以待，開盤時上漲3元（+0.62%）來到487.5元，至於大盤上漲58.37點（+0.40%）來到14809點。 台股今跟隨美股腳步紅盤開出，加權股價指數上漲58.37點（+0.40%）來˙到14809點，至於個股表現部分，下午將召開法說會的台積電，投資人普遍樂觀看待，開盤上漲3元（+0.62%）來到487.5元，另外同樣也要在今天召開法說會的大立光開盤則下跌了15元，來到2175元。美股11日投資人樂觀靜待最新通膨數據出爐，四大指數全面收紅:道瓊工業指數上揚268.91點或0.80%，收33973.01點。標準普爾500指數揚升50.36點或1.28%，收3969.61點。那斯達克指數上漲189.04點或1.76%，收10931.67點。費城半導體指數漲升34.08點或1.25%，收2755.36點。
